Priority,element,X,Y,Speed,Angle,Altitude,Satellites,IO,239,240,21,200,69,113,181,182,66,24,67,68,241,Timestamp,EventSource,
0,,860613516,273779800,0,65,557,16,,0,0,4,0,1,100,11,7,13247,0,4127,0,42902,1704824120000,0,
0,,860613516,273779800,0,65,557,14,,0,0,4,0,1,100,15,8,13247,0,4127,0,42902,1704824240000,0,
0,,860613516,273779800,0,65,557,16,,0,0,4,0,1,100,11,7,13247,0,4127,0,42902,1704824360000,0,
0,,860613516,273779800,0,65,557,13,,0,0,4,0,1,100,12,8,13247,0,4127,0,42902,1704824480000,0,
0,,860613516,273779800,0,65,559,16,,0,0,4,0,1,100,10,7,13247,0,4127,0,42902,1704824600000,0,
0,,860613516,273779800,0,65,559,15,,0,0,4,0,1,100,11,7,13247,0,4127,0,42902,1704824720000,0,
0,,860613516,273779800,0,65,559,15,,0,0,4,0,1,100,10,7,13247,0,4127,0,42902,1704824840000,0,
0,,860613516,273779800,0,65,559,13,,0,0,4,0,1,100,17,8,13247,0,4127,0,42902,1704824960000,0,
0,,860613516,273779800,0,65,559,14,,0,0,4,0,1,100,15,7,13247,0,4127,0,42902,1704825080000,0,
0,,860613516,273779800,0,65,559,13,,0,0,4,0,1,100,21,10,13247,0,4127,0,42902,1704825200000,0,
0,,860613516,273779800,0,65,559,12,,0,0,4,0,1,100,11,8,13247,0,4127,0,42902,1704825320000,0,
0,,860613516,273779800,0,65,559,14,,0,0,4,0,1,100,11,8,13247,0,4127,0,42902,1704825440000,0,
0,,860613516,273779800,0,65,559,12,,0,0,4,0,1,100,12,9,13247,0,4127,0,42902,1704825560000,0,
0,,860613516,273779800,0,65,559,13,,0,0,4,0,1,100,18,9,13247,0,4127,0,42902,1704825680000,0,
0,,860613516,273779800,0,65,559,15,,0,0,4,0,1,100,15,7,13247,0,4127,0,42902,1704825800000,0,
0,,860613516,273779800,0,65,559,10,,0,0,4,0,1,100,25,12,13247,0,4127,0,42902,1704825920000,0,
0,,860613516,273779800,0,65,559,12,,0,0,4,0,1,100,12,9,13248,0,4127,0,42902,1704826040000,0,
0,,860613516,273779800,0,65,558,11,,0,0,4,0,1,100,11,9,13247,0,4127,0,42902,1704826160000,0,
0,,860613516,273779800,0,65,558,12,,0,0,4,0,1,100,12,10,13247,0,4127,0,42902,1704826280000,0,
0,,860613516,273779800,0,65,558,12,,0,0,4,0,1,100,13,9,13247,0,4127,0,42902,1704826400000,0,
0,,860613516,273779800,0,65,558,13,,0,0,4,0,1,100,11,8,13247,0,4127,0,42902,1704826520000,0,
0,,860613516,273779800,0,65,558,11,,0,0,4,0,1,100,13,10,13247,0,4127,0,42902,1704826640000,0,
0,,860613516,273779800,0,65,558,10,,0,0,4,0,1,100,14,11,13255,0,4127,0,42902,1704826760000,0,
0,,860613516,273779800,0,65,558,12,,0,0,4,0,1,100,11,8,13247,0,4127,0,42902,1704826880000,0,
0,,860613516,273779800,0,65,558,13,,0,0,4,0,1,100,11,8,13247,0,4127,0,42902,1704827000000,0,
0,,860613516,273779800,0,65,558,11,,0,0,4,0,1,100,11,8,13247,0,4127,0,42902,1704827120000,0,
0,,860613516,273779800,0,65,558,12,,0,0,4,0,1,100,12,10,13247,0,4127,0,42902,1704827240000,0,
0,,860613516,273779800,0,65,558,13,,0,0,4,0,1,100,11,8,13247,0,4127,0,42902,1704827360000,0,
0,,860613516,273779800,0,65,558,12,,0,0,4,0,1,100,11,8,13247,0,4127,0,42902,1704827480000,0,
0,,860613516,273779800,0,65,561,13,,0,0,4,0,1,100,10,8,13247,0,4127,0,42902,1704827600000,0,
0,,860613516,273779800,0,65,561,13,,0,0,4,0,1,100,11,8,13246,0,4127,0,42902,1704827720000,0,
0,,860613516,273779800,0,65,561,13,,0,0,4,0,1,100,10,7,13247,0,4127,0,42902,1704827840000,0,
0,,860613516,273779800,0,65,561,13,,0,0,4,0,1,100,11,7,13247,0,4127,0,42902,1704827960000,0,
0,,860613516,273779800,0,65,561,13,,0,0,4,0,1,100,10,7,13249,0,4126,0,42902,1704828080000,0,
0,,860613516,273779800,0,65,561,13,,0,0,4,0,1,100,10,7,13247,0,4127,0,42902,1704828200000,0,
0,,860613516,273779800,0,65,561,16,,0,0,4,0,1,100,10,6,13247,0,4127,0,42902,1704828320000,0,
0,,860613516,273779800,0,65,561,14,,0,0,4,0,1,100,10,8,13246,0,4127,0,42902,1704828440000,0,
0,,860613516,273779800,0,65,561,17,,0,0,4,0,1,100,9,6,13247,0,4127,0,42902,1704828560000,0,
0,,860613516,273779800,0,65,561,16,,0,0,4,0,1,100,10,6,13247,0,4127,0,42902,1704828680000,0,
0,,860613516,273779800,0,65,561,17,,0,0,4,0,1,100,9,6,13247,0,4127,0,42902,1704828800000,0,
0,,860613516,273779800,0,65,561,14,,0,0,4,0,1,100,10,7,13247,0,4127,0,42902,1704828920000,0,
0,,860613516,273779800,0,65,561,16,,0,0,4,0,1,100,10,7,13247,0,4127,0,42902,1704829040000,0,
0,,860613516,273779800,0,65,561,17,,0,0,4,0,1,100,9,6,13247,0,4127,0,42902,1704829160000,0,
0,,860613516,273779800,0,65,550,17,,0,0,4,0,1,100,10,6,13247,0,4127,0,42902,1704829280000,0,
0,,860613516,273779800,0,65,550,16,,0,0,4,0,1,100,10,6,13248,0,4127,0,42902,1704829400000,0,
0,,860613516,273779800,0,65,550,14,,0,0,4,0,1,100,10,7,13247,0,4127,0,42902,1704829520000,0,
