X,Y,Speed,Angle,Altitude,Satellites,Timestamp
860594616,273804683,0,138,549,19,1.70459E+12
860594616,273804683,0,138,549,19,1.70459E+12
860594616,273804683,0,138,549,20,1.70459E+12
860594616,273804683,0,138,549,19,1.70459E+12
860594616,273804683,0,138,549,20,1.70459E+12
860594616,273804683,0,138,549,18,1.70459E+12
860594616,273804683,0,138,549,17,1.70459E+12
860594616,273804683,0,138,549,18,1.70459E+12
860594616,273804683,0,138,549,18,1.70459E+12
860594616,273804683,0,138,549,17,1.70459E+12
860594616,273804683,0,138,549,18,1.70459E+12
860594616,273804683,0,138,549,19,1.70459E+12
860594616,273804683,0,138,549,19,1.70459E+12
860594616,273804683,0,138,549,17,1.70459E+12
860594616,273804683,0,138,549,17,1.70459E+12
860594616,273804683,0,138,549,17,1.70459E+12
860594616,273804683,0,138,549,17,1.70459E+12
860594616,273804683,0,138,549,17,1.70459E+12
860594616,273804683,0,138,549,17,1.70459E+12
860594616,273804683,0,138,549,16,1.70459E+12
860598133,273802550,12,96,553,17,1.70459E+12
860599633,273802666,12,84,554,17,1.70459E+12
860603233,273802866,0,88,555,14,1.70459E+12
860603383,273802833,0,88,555,14,1.70459E+12
860603383,273802833,0,88,555,14,1.70459E+12
860603383,273802833,0,88,555,16,1.70459E+12
860603383,273802833,0,88,555,12,1.70459E+12
860603750,273802183,0,213,557,15,1.70459E+12
860602933,273802316,6,274,557,15,1.70459E+12
860601766,273802683,17,280,557,15,1.70459E+12
860600566,273802866,20,270,557,15,1.70459E+12
860597283,273803100,21,287,557,16,1.70459E+12
860596250,273803550,20,301,557,17,1.70459E+12
860594833,273804483,19,312,555,17,1.70459E+12
860592533,273806049,8,291,557,16,1.70459E+12
860590866,273807133,6,306,563,16,1.70459E+12
860590616,273807333,0,339,563,17,1.70459E+12
860590616,273807333,0,339,563,15,1.70459E+12
860590616,273807333,0,339,563,16,1.70459E+12
860590616,273807333,0,339,563,16,1.70459E+12
860590733,273808566,9,7,564,17,1.70459E+12
860591400,273811050,20,9,565,16,1.70459E+12
860592633,273814416,9,13,569,16,1.70459E+12
860592566,273813816,6,174,576,16,1.70459E+12
860592566,273813383,7,193,577,16,1.70459E+12
860591500,273810933,12,209,574,17,1.70459E+12
860591183,273810250,16,194,574,17,1.70459E+12
860590916,273808600,12,181,574,17,1.70459E+12
860591033,273807716,14,160,574,15,1.70459E+12
860591633,273806683,8,147,572,16,1.70459E+12
860591916,273806516,8,128,571,16,1.70459E+12
860592483,273806400,7,117,568,15,1.70459E+12
860592766,273806300,0,117,567,17,1.70459E+12
860592766,273806300,0,117,567,15,1.70459E+12
860592766,273806300,0,117,567,16,1.70459E+12
860592766,273806300,0,117,567,17,1.70459E+12
860592766,273806300,0,117,567,16,1.70459E+12
860593116,273805950,6,140,564,17,1.70459E+12
860593483,273805699,0,148,564,17,1.70459E+12
860593483,273805699,0,148,564,16,1.70459E+12
860593483,273805699,0,148,564,15,1.70459E+12
860593483,273805699,0,148,564,16,1.70459E+12
860593483,273805699,0,148,564,14,1.70459E+12
860593483,273805699,0,148,564,17,1.70459E+12
860593483,273805699,0,148,564,17,1.70459E+12
860593483,273805699,0,148,564,17,1.70459E+12
860593483,273805699,0,148,564,17,1.70459E+12
860594533,273804833,0,136,560,17,1.70459E+12
860594533,273804833,0,136,560,16,1.70459E+12
860594533,273804833,0,136,560,17,1.70459E+12
860594533,273804833,0,136,560,17,1.70459E+12
860595216,273804266,14,132,560,17,1.70459E+12
860596899,273803133,19,118,561,17,1.70459E+12
860597866,273802800,16,101,561,17,1.70459E+12
860600199,273802733,18,88,559,17,1.7046E+12
860603449,273802716,24,100,557,17,1.7046E+12
860604716,273802366,25,114,558,17,1.7046E+12
860613433,273799816,27,97,557,16,1.7046E+12
860614233,273799866,26,85,557,15,1.7046E+12
860617133,273800066,25,98,556,16,1.7046E+12
860617833,273799866,26,108,556,16,1.7046E+12
860619183,273799149,27,122,557,17,1.7046E+12
860623216,273797066,28,108,560,17,1.7046E+12
860629033,273795350,19,121,558,17,1.7046E+12
860629700,273794716,17,143,557,17,1.7046E+12
860629866,273794366,13,156,557,17,1.7046E+12
860629883,273794049,9,170,557,17,1.7046E+12
860629950,273793283,10,184,555,16,1.7046E+12
860629916,273792849,7,198,555,17,1.7046E+12
860629683,273792483,6,211,555,17,1.7046E+12
860628583,273791600,9,233,553,17,1.7046E+12
860627116,273790850,14,245,551,17,1.7046E+12
860625333,273789900,11,235,547,17,1.7046E+12
860621449,273787183,14,216,543,17,1.7046E+12
860621066,273786683,7,206,542,17,1.7046E+12
860620933,273786516,6,228,541,17,1.7046E+12
860620800,273786450,0,228,541,18,1.7046E+12
860620499,273786483,6,244,540,18,1.7046E+12
860619966,273786200,13,233,540,18,1.7046E+12
860618816,273785100,23,225,539,18,1.7046E+12
860614116,273781000,24,238,538,18,1.7046E+12
860612833,273780450,26,249,538,18,1.7046E+12
860610833,273779583,27,233,536,18,1.7046E+12
860609816,273778683,27,220,536,18,1.7046E+12
860608933,273777600,26,209,535,18,1.7046E+12
860607566,273775533,20,227,535,18,1.7046E+12
860607099,273775283,18,246,535,18,1.7046E+12
860606600,273775233,17,268,535,17,1.7046E+12
860606166,273775333,17,282,535,18,1.7046E+12
860605783,273775550,15,296,535,18,1.7046E+12
860604383,273776566,10,307,535,18,1.7046E+12
860602983,273777383,16,295,535,18,1.7046E+12
860600550,273778416,27,294,536,18,1.7046E+12
860592933,273781516,23,279,535,18,1.7046E+12
860592333,273781533,21,268,534,18,1.7046E+12
860591766,273781450,19,256,534,18,1.7046E+12
860591316,273781333,18,240,532,18,1.7046E+12
860590916,273781066,18,224,530,18,1.7046E+12
860590250,273780100,24,214,529,18,1.7046E+12
860587033,273776149,15,232,528,16,1.7046E+12
860586666,273775966,16,252,528,16,1.7046E+12
860586216,273775950,17,267,529,15,1.7046E+12
860585116,273776083,19,280,531,15,1.7046E+12
860582600,273776516,15,260,537,16,1.7046E+12
860581850,273776316,10,243,538,17,1.7046E+12
860581450,273776083,8,227,540,16,1.7046E+12
860581300,273775933,8,242,541,16,1.7046E+12
860580833,273775883,0,251,546,17,1.7046E+12
860580833,273775883,0,251,546,18,1.7046E+12
860579933,273775950,6,276,544,18,1.7046E+12
860579366,273775933,10,266,544,18,1.7046E+12
860577349,273775833,21,274,543,17,1.7046E+12
860573350,273776100,31,270,541,18,1.7046E+12
860567550,273776050,35,280,539,16,1.7046E+12
860559650,273777316,39,267,540,18,1.7046E+12
860551883,273777466,39,277,538,18,1.7046E+12
860548616,273777383,39,264,538,18,1.7046E+12
860539916,273776783,36,278,534,17,1.7046E+12
860535249,273777299,35,266,533,18,1.7046E+12
860527683,273776550,36,276,531,18,1.7046E+12
860522066,273777333,35,266,528,18,1.7046E+12
860517533,273776600,29,251,523,18,1.7046E+12
860516116,273775933,27,238,521,18,1.7046E+12
860513366,273774100,24,227,514,18,1.7046E+12
860510900,273771983,36,225,511,18,1.7046E+12
860504533,273766883,35,237,511,18,1.7046E+12
860502716,273766233,34,253,510,17,1.7046E+12
860501766,273766100,34,264,511,17,1.7046E+12
860500716,273766183,36,274,511,16,1.7046E+12
860499783,273766533,36,287,511,16,1.7046E+12
860497883,273767566,38,300,512,17,1.7046E+12
860490983,273771116,41,289,514,16,1.7046E+12
860487050,273772133,27,285,515,16,1.7046E+12
860485933,273772516,20,299,515,15,1.7046E+12
860485033,273773100,22,313,516,15,1.7046E+12
860482466,273775816,32,317,519,14,1.7046E+12
860479216,273778866,34,328,522,16,1.7046E+12
860478450,273780433,33,339,523,17,1.7046E+12
860477050,273783583,24,318,522,17,1.7046E+12
860476516,273783983,24,305,522,17,1.7046E+12
860475866,273784233,25,293,523,17,1.7046E+12
860475083,273784400,28,282,522,17,1.7046E+12
860473399,273784483,30,269,522,17,1.7046E+12
860470816,273784033,27,258,521,18,1.7046E+12
860469050,273783583,16,254,520,18,1.7046E+12
860468366,273783383,6,247,517,18,1.7046E+12
860465683,273782533,17,247,514,18,1.7046E+12
860458716,273779850,16,264,512,18,1.7046E+12
860456433,273779400,25,247,512,18,1.7046E+12
860455033,273778750,30,236,513,18,1.7046E+12
860451250,273776366,32,224,514,18,1.7046E+12
860450716,273775733,31,212,514,18,1.7046E+12
860450433,273774933,33,198,514,18,1.7046E+12
860448166,273769800,37,208,514,17,1.7046E+12
860446800,273767583,28,219,517,17,1.7046E+12
860446233,273767116,27,231,517,17,1.7046E+12
860444866,273766566,29,249,518,17,1.7046E+12
860443500,273765916,32,235,517,18,1.7046E+12
860439899,273763683,34,248,519,18,1.7046E+12
860438316,273762983,32,236,518,18,1.7046E+12
860437050,273761933,32,218,519,18,1.7046E+12
860434383,273758816,32,236,522,18,1.7046E+12
860431516,273757050,31,223,524,18,1.7046E+12
860430566,273755916,27,212,525,18,1.7046E+12
860430116,273754733,24,190,526,17,1.7046E+12
860429983,273753000,22,200,526,18,1.7046E+12
860429716,273752550,21,216,527,17,1.7046E+12
860429266,273752216,20,231,527,17,1.7046E+12
860428599,273752116,24,263,527,15,1.7046E+12
860427833,273752266,25,282,528,16,1.7046E+12
860427133,273752700,27,300,529,15,1.7046E+12
860425033,273753699,26,281,529,17,1.7046E+12
860424283,273753699,25,265,529,17,1.7046E+12
860423516,273753466,27,249,528,17,1.7046E+12
860422216,273752700,29,231,527,18,1.7046E+12
860421633,273752066,29,218,526,18,1.7046E+12
860420866,273750616,29,202,524,17,1.7046E+12
860420300,273749483,20,219,522,14,1.7046E+12
860419883,273749166,19,233,522,15,1.7046E+12
860419183,273749133,20,259,521,15,1.7046E+12
860418433,273749450,23,284,521,15,1.7046E+12
860414650,273750033,32,266,521,15,1.7046E+12
860409250,273749783,43,267,524,15,1.7046E+12
860399166,273748366,42,257,528,17,1.7046E+12
860388950,273745883,35,249,537,17,1.7046E+12
860385266,273744250,19,246,540,17,1.7046E+12
860381733,273743366,25,260,546,16,1.7046E+12
860380149,273743349,30,273,548,15,1.7046E+12
860378416,273743666,31,286,550,15,1.7046E+12
860369050,273746349,34,274,552,16,1.7046E+12
860367033,273746266,36,264,551,16,1.7046E+12
860361466,273745650,24,251,548,17,1.7046E+12
860360900,273745133,23,231,547,18,1.7046E+12
860360483,273744633,25,214,547,17,1.7046E+12
860360283,273743949,26,200,546,18,1.7046E+12
860359033,273740433,12,206,541,17,1.7046E+12
860358250,273738850,23,202,535,16,1.7046E+12
860357533,273736666,32,192,531,15,1.7046E+12
860357416,273735083,30,181,529,14,1.7046E+12
860357133,273732516,18,194,527,14,1.7046E+12
860356833,273731900,10,215,526,14,1.7046E+12
860356433,273731583,10,239,526,14,1.7046E+12
860354816,273731033,17,256,525,14,1.7046E+12
860352216,273730750,11,281,525,12,1.7046E+12
860350316,273731116,10,291,532,14,1.7046E+12
860350033,273731266,11,305,533,14,1.7046E+12
860349749,273731450,12,318,534,13,1.7046E+12
860348933,273732483,18,331,537,13,1.7046E+12
860348633,273733350,17,347,539,14,1.7046E+12
860348133,273735666,27,339,542,14,1.7046E+12
860347683,273736283,27,320,542,14,1.7046E+12
860347100,273736766,28,309,543,13,1.7046E+12
860344350,273738633,28,319,546,15,1.7046E+12
860343183,273739616,26,308,550,15,1.7046E+12
860342533,273739983,25,297,552,16,1.7046E+12
860341933,273740200,23,284,553,16,1.7046E+12
860341350,273740250,20,271,554,16,1.7046E+12
860340749,273740133,21,254,555,17,1.7046E+12
860340133,273739866,24,241,556,17,1.7046E+12
860336500,273737516,31,231,560,18,1.7046E+12
860335883,273736933,30,221,561,18,1.7046E+12
860335383,273736300,31,209,563,17,1.7046E+12
860335133,273735583,30,198,563,17,1.7046E+12
860334433,273734166,29,211,566,17,1.7046E+12
860333383,273733100,28,224,569,17,1.7046E+12
860331150,273731000,29,213,573,17,1.7046E+12
860324616,273723533,30,220,583,17,1.7046E+12
860323800,273722300,30,208,583,16,1.7046E+12
860323250,273720650,19,199,583,15,1.7046E+12
860322700,273719633,14,211,585,14,1.7046E+12
860322333,273719150,13,193,587,14,1.7046E+12
860322350,273718866,13,168,587,14,1.7046E+12
860322549,273718633,12,134,588,14,1.7046E+12
860322933,273718516,12,104,587,13,1.7046E+12
860323316,273718566,12,71,587,14,1.7046E+12
860323666,273718800,14,49,588,13,1.7046E+12
860323933,273719183,16,27,588,13,1.7046E+12
860325600,273722600,24,38,592,13,1.7046E+12
860326616,273723400,23,54,593,13,1.7046E+12
860331083,273725533,27,65,599,16,1.7046E+12
860332583,273725883,28,79,600,15,1.7046E+12
860334849,273726400,27,65,601,15,1.7046E+12
860336166,273727083,27,49,601,16,1.7046E+12
860336649,273727616,26,36,602,16,1.7046E+12
860339300,273730933,26,48,604,17,1.7046E+12
860339899,273731283,24,61,604,17,1.7046E+12
860340499,273731466,23,76,606,18,1.7046E+12
860341200,273731466,23,93,606,18,1.7046E+12
860341800,273731250,23,113,605,17,1.7046E+12
860342366,273730900,23,128,606,17,1.7046E+12
860342816,273730433,23,141,606,18,1.7046E+12
860343166,273729900,23,156,607,18,1.7046E+12
860343383,273729283,23,168,607,17,1.7046E+12
860343433,273728683,23,180,608,17,1.7046E+12
860343350,273728116,20,192,609,18,1.7046E+12
860343000,273727700,19,221,610,18,1.7046E+12
860342350,273727500,21,256,611,17,1.7046E+12
860341699,273727466,22,271,612,17,1.7046E+12
860339766,273727566,21,255,615,17,1.7046E+12
860339200,273727300,20,237,615,18,1.7046E+12
860338750,273726966,21,221,616,16,1.7046E+12
860338416,273726533,21,211,617,17,1.7046E+12
860336533,273724200,21,223,621,17,1.7046E+12
860335500,273723383,23,233,623,17,1.7046E+12
860329616,273719816,17,220,629,17,1.7046E+12
860329416,273719450,16,208,629,17,1.7046E+12
860329266,273719083,16,197,630,17,1.7046E+12
860329100,273718050,12,187,631,17,1.7046E+12
860328933,273717333,9,197,632,16,1.7046E+12
860327649,273713983,12,210,641,14,1.7046E+12
860327300,273713500,11,220,643,14,1.7046E+12
860326533,273713016,12,239,644,13,1.7046E+12
860325833,273712750,13,257,645,13,1.7046E+12
860325383,273712716,15,267,646,13,1.7046E+12
860323483,273712500,17,256,648,15,1.7046E+12
860321349,273712200,20,271,651,15,1.7046E+12
860318983,273712000,21,245,654,15,1.7046E+12
860318433,273711666,22,230,655,14,1.7046E+12
860317983,273711233,23,216,655,15,1.7046E+12
860317433,273710233,22,204,657,15,1.7046E+12
860316433,273708200,23,215,660,14,1.7046E+12
860314266,273705966,26,227,664,15,1.7046E+12
860312966,273705116,27,237,666,15,1.7046E+12
860310916,273704216,26,249,667,13,1.7046E+12
860308633,273703216,21,229,669,16,1.7046E+12
860308266,273702766,20,214,669,15,1.7046E+12
860308133,273702300,17,196,669,15,1.7046E+12
860308066,273701483,7,189,669,15,1.7046E+12
860308200,273700866,12,172,668,12,1.7046E+12
860308333,273699416,21,185,668,12,1.7046E+12
860308216,273698900,20,196,667,12,1.7046E+12
860307966,273698466,17,211,667,12,1.7046E+12
860307666,273698183,14,236,667,12,1.7046E+12
860306933,273698150,19,273,666,14,1.7046E+12
860306366,273698333,19,285,666,12,1.7046E+12
860305783,273698666,22,296,666,12,1.7046E+12
860305216,273699216,24,314,667,13,1.7046E+12
860300333,273703016,27,335,675,13,1.7046E+12
860300133,273703716,27,347,676,13,1.7046E+12
860300133,273704500,27,358,678,13,1.7046E+12
860299550,273710300,32,341,681,14,1.7046E+12
860299216,273710949,28,328,682,15,1.7046E+12
860298749,273711316,24,309,683,15,1.7046E+12
860298116,273711566,25,288,683,16,1.7046E+12
860296316,273711699,34,275,682,15,1.7046E+12
860291966,273711933,37,289,681,15,1.7046E+12
860288283,273713783,37,309,678,15,1.7046E+12
860287666,273714383,36,320,678,15,1.7046E+12
860286566,273715816,33,306,675,15,1.7046E+12
860285616,273716066,34,289,674,15,1.7046E+12
860276816,273717833,34,277,663,15,1.7046E+12
860275083,273718350,33,290,661,15,1.7046E+12
860273183,273718733,35,275,659,15,1.7046E+12
860272183,273718700,36,264,658,15,1.7046E+12
860271216,273718566,35,253,656,15,1.7046E+12
860269216,273717550,36,238,654,16,1.7046E+12
860267533,273716183,38,223,650,15,1.7046E+12
860266500,273714933,34,233,647,15,1.7046E+12
860265766,273714516,33,243,645,14,1.7046E+12
860263966,273714350,32,267,643,13,1.7046E+12
860259183,273714483,30,252,635,15,1.7046E+12
860257450,273713816,15,245,633,15,1.7046E+12
860257050,273713516,15,234,632,15,1.7046E+12
860256749,273713183,16,212,631,15,1.7046E+12
860256566,273712766,18,197,631,15,1.7046E+12
860256583,273712200,22,179,630,15,1.7046E+12
860256699,273709433,26,190,629,14,1.7046E+12
860256416,273708833,25,203,629,14,1.7046E+12
860255933,273708300,26,221,629,14,1.7046E+12
860255183,273707916,27,237,629,14,1.7046E+12
860254283,273707650,30,248,629,14,1.7046E+12
860252400,273707383,30,264,629,14,1.7046E+12
860251549,273707500,29,276,629,15,1.7046E+12
860250733,273707733,29,289,629,15,1.7046E+12
860249966,273708100,30,300,630,13,1.7046E+12
860244750,273711216,37,313,637,13,1.7046E+12
860241366,273714683,32,297,644,14,1.7046E+12
860240499,273714816,30,281,644,14,1.7046E+12
860239583,273714766,30,267,643,14,1.7046E+12
860238716,273714583,30,255,644,15,1.7046E+12
860237783,273714183,34,244,644,15,1.7046E+12
860233533,273712350,40,256,643,15,1.7046E+12
860232166,273712183,41,267,642,14,1.7046E+12
860231050,273712333,39,284,642,15,1.7046E+12
860229066,273713416,44,303,644,15,1.7046E+12
860226049,273715583,43,317,642,15,1.7046E+12
860225516,273716583,43,327,643,15,1.7046E+12
860225133,273717683,44,337,642,16,1.7046E+12
860223516,273720216,46,318,644,15,1.7046E+12
860219983,273723950,48,329,641,15,1.7046E+12
860218333,273725683,47,317,639,15,1.7046E+12
860215633,273728416,42,306,636,15,1.7046E+12
860213900,273729683,40,325,636,15,1.7046E+12
860213150,273731549,33,337,630,15,1.7046E+12
860212733,273732950,29,357,628,15,1.7046E+12
860212416,273734266,23,338,627,15,1.7046E+12
860211216,273734833,22,293,624,15,1.7046E+12
860210466,273734800,24,273,622,15,1.7046E+12
860209366,273734516,32,260,620,14,1.7046E+12
860201383,273732866,39,245,605,16,1.7046E+12
860199733,273731849,34,232,600,16,1.7046E+12
860197616,273730716,24,250,596,16,1.7046E+12
860196299,273730466,20,265,594,16,1.7046E+12
860194066,273730166,13,254,592,16,1.7046E+12
860193100,273729933,13,265,592,16,1.7046E+12
860189633,273729800,23,272,591,16,1.7046E+12
860187900,273729783,34,272,591,16,1.7046E+12
860183133,273730133,44,272,588,17,1.7046E+12
860180500,273730066,47,260,586,15,1.7046E+12
860176750,273729650,42,270,579,17,1.7046E+12
860175599,273729850,40,281,578,16,1.7046E+12
860174699,273730216,38,296,578,16,1.7046E+12
860169566,273732550,45,277,571,16,1.7046E+12
860164783,273733183,37,287,570,15,1.7046E+12
860163966,273733600,36,298,571,16,1.7046E+12
860162299,273734766,34,310,569,16,1.7046E+12
860159583,273736349,24,285,567,16,1.7046E+12
860159583,273736349,24,285,567,16,1.7046E+12
860158883,273736266,23,262,565,18,1.7046E+12
860158233,273736016,25,245,565,18,1.7046E+12
860157599,273735466,30,227,564,18,1.7046E+12
860155316,273732583,39,214,558,16,1.7046E+12
860154249,273730916,34,204,555,16,1.7046E+12
860153716,273729216,32,192,553,15,1.7046E+12
860153666,273728416,29,179,552,15,1.7046E+12
860153783,273727683,28,167,552,15,1.7046E+12
860154433,273726400,26,151,549,16,1.7046E+12
860155450,273724533,16,170,545,15,1.7046E+12
860155500,273724166,14,185,543,16,1.7046E+12
860155266,273723816,13,214,542,15,1.7046E+12
860154816,273723633,15,240,541,15,1.7046E+12
860153866,273723550,23,262,540,15,1.7046E+12
860152983,273723750,29,278,540,14,1.7046E+12
860149850,273724700,41,277,541,14,1.7046E+12
860146383,273724783,37,264,539,13,1.7046E+12
860144716,273724466,25,266,536,14,1.7046E+12
860144033,273724483,22,281,536,14,1.7046E+12
860143466,273724766,22,301,536,14,1.7046E+12
860143116,273725266,23,321,536,14,1.7046E+12
860142950,273726000,26,342,536,14,1.7046E+12
860143149,273726833,29,8,537,13,1.7046E+12
860143483,273727633,31,18,537,13,1.7046E+12
860145216,273731616,32,3,537,13,1.7046E+12
860145183,273732566,36,353,537,13,1.7046E+12
860144049,273736249,32,340,538,14,1.7046E+12
