Priority,element,X,Y,Speed,Angle,Altitude,Satellites,IO,239,240,21,200,69,113,181,182,66,24,67,68,241,Timestamp,EventSource,
0,,860351150,273732516,0,341,558,14,,0,0,3,0,1,100,21,9,12466,0,4122,0,42902,1705428914000,0,
0,,860351150,273732516,0,341,558,12,,0,0,3,0,1,100,22,10,12552,0,4121,0,42902,1705429034000,0,
0,,860351150,273732516,0,341,558,14,,0,0,3,0,1,100,21,10,12523,0,4121,0,42902,1705429154000,0,
0,,860351150,273732516,0,341,558,14,,0,0,3,0,1,100,21,10,12530,0,4122,0,42902,1705429274000,0,
0,,860351150,273732516,0,341,558,15,,0,0,3,0,1,100,12,8,12446,0,4121,0,42902,1705429394000,0,
0,,860351150,273732516,0,341,558,13,,0,0,3,0,1,100,21,10,12498,0,4121,0,42902,1705429514000,0,
0,,860351150,273732516,0,341,558,14,,0,0,3,0,1,100,21,10,12492,0,4122,0,42902,1705429634000,0,
0,,860351150,273732516,0,341,558,15,,0,0,3,0,1,100,17,9,12492,0,4121,0,42902,1705429754000,0,
0,,860351150,273732516,0,341,558,14,,0,0,3,0,1,100,21,11,12482,0,4122,0,42902,1705429874000,0,
0,,860351150,273732516,0,341,578,14,,0,0,3,0,1,100,20,11,12429,0,4122,0,42902,1705429994000,0,
0,,860351150,273732516,0,341,578,15,,0,0,3,0,1,100,17,9,12520,0,4122,0,42902,1705430114000,0,
0,,860351150,273732516,0,341,578,15,,0,0,3,0,1,100,17,9,12510,0,4121,0,42902,1705430234000,0,
0,,860351150,273732516,0,341,578,15,,0,0,3,0,1,100,17,9,12445,0,4120,0,42902,1705430354000,0,
0,,860351150,273732516,0,341,578,15,,0,0,3,0,1,100,12,9,12445,0,4120,0,42902,1705430474000,0,
0,,860351150,273732516,0,341,578,15,,0,0,3,0,1,100,17,9,12426,0,4121,0,42902,1705430594000,0,
0,,860351150,273732516,0,341,578,15,,0,0,3,0,1,100,16,9,12430,0,4120,0,42902,1705430714000,0,
0,,860351150,273732516,0,341,578,14,,0,0,3,0,1,100,19,9,12515,0,4121,0,42902,1705430834000,0,
0,,860351150,273732516,0,341,578,14,,0,0,3,0,1,100,19,10,12457,0,4121,0,42902,1705430954000,0,
0,,860351150,273732516,0,341,578,15,,0,0,3,0,1,100,17,8,12392,0,4120,0,42902,1705431074000,0,
0,,860351150,273732516,0,341,578,15,,0,0,3,0,1,100,17,8,12417,0,4121,0,42902,1705431194000,0,
0,,860351150,273732516,0,341,578,15,,0,0,3,0,1,100,16,8,12464,0,4121,0,42902,1705431314000,0,
0,,860351150,273732516,0,341,578,15,,0,0,3,0,1,99,16,8,12397,0,4119,0,42902,1705431434000,0,
0,,860351150,273732516,0,341,578,15,,0,0,3,0,1,100,16,8,12454,0,4121,0,42902,1705431554000,0,
0,,860351150,273732516,0,341,597,15,,0,0,3,0,1,100,16,8,12442,0,4121,0,42902,1705431674000,0,
0,,860351150,273732516,0,341,597,14,,0,0,3,0,1,100,17,9,12400,0,4120,0,42902,1705431794000,0,
0,,860351150,273732516,0,341,597,14,,0,0,3,0,1,100,17,9,12428,0,4122,0,42902,1705431914000,0,
0,,860351150,273732516,0,341,597,16,,0,0,3,0,1,100,15,8,12471,0,4121,0,42902,1705432034000,0,
0,,860351150,273732516,0,341,597,15,,0,0,3,0,1,99,16,8,12408,0,4119,0,42902,1705432154000,0,
0,,860351150,273732516,0,341,597,16,,0,0,3,0,1,100,15,8,12443,0,4121,0,42902,1705432274000,0,
0,,860351150,273732516,0,341,597,16,,0,0,3,0,1,100,15,8,12444,0,4120,0,42902,1705432394000,0,
0,,860351150,273732516,0,341,597,15,,0,0,3,0,1,99,15,9,12407,0,4120,0,42902,1705432514000,0,
0,,860351150,273732516,0,341,597,16,,0,0,3,0,1,100,15,8,12439,0,4122,0,42902,1705432634000,0,
0,,860351150,273732516,0,341,597,16,,0,0,3,0,1,100,15,8,12447,0,4121,0,42902,1705432754000,0,
0,,860351150,273732516,0,341,597,15,,0,0,3,0,1,99,16,9,12407,0,4119,0,42902,1705432874000,0,
0,,860351150,273732516,0,341,597,15,,0,0,3,0,1,100,16,9,12436,0,4121,0,42902,1705432994000,0,
0,,860351150,273732516,0,341,597,15,,0,0,3,0,1,100,16,9,12412,0,4121,0,42902,1705433114000,0,
0,,860351150,273732516,0,341,597,15,,0,0,3,0,1,99,14,9,12400,0,4119,0,42902,1705433234000,0,
0,,860351150,273732516,0,341,597,16,,0,0,3,0,1,100,14,8,12417,0,4121,0,42902,1705433354000,0,
0,,860351150,273732516,0,341,597,16,,0,0,3,0,1,99,14,8,12401,0,4119,0,42902,1705433474000,0,
0,,860351150,273732516,0,341,597,15,,0,0,3,0,1,99,14,8,12420,0,4119,0,42902,1705433594000,0,
0,,860351150,273732516,0,341,597,16,,0,0,3,0,1,100,14,8,12397,0,4120,0,42902,1705433714000,0,
0,,860351150,273732516,0,341,597,16,,0,0,3,0,1,100,14,8,12392,0,4121,0,42902,1705433834000,0,
0,,860351150,273732516,0,341,597,16,,0,0,3,0,1,99,14,8,12399,0,4119,0,42902,1705433954000,0,
0,,860351150,273732516,0,341,597,16,,0,0,3,0,1,100,13,7,12427,0,4121,0,42902,1705434074000,0,
0,,860351150,273732516,0,341,597,15,,0,0,3,0,1,100,15,8,12419,0,4121,0,42902,1705434194000,0,
0,,860351150,273732516,0,341,597,16,,0,0,3,0,1,99,13,7,12395,0,4119,0,42902,1705434314000,0,
0,,860351150,273732516,0,341,591,16,,0,0,3,0,1,100,10,7,12408,0,4121,0,42902,1705434434000,0,
0,,860351150,273732516,0,341,591,16,,0,0,3,0,1,100,13,7,12392,0,4120,0,42902,1705434554000,0,
