Priority,element,X,Y,Speed,Angle,Altitude,Satellites,IO,239,240,21,200,69,113,181,182,66,24,67,68,241,Timestamp,EventSource,
0,,860323033,277451966,0,140,3383,20,,0,0,4,0,1,100,13,6,12050,0,4122,0,42902,1705103996000,0,
0,,860323033,277451966,0,140,3383,21,,0,0,4,0,1,100,12,6,12064,0,4122,0,42902,1705104116000,0,
0,,860323033,277451966,0,140,3383,18,,0,0,4,0,1,100,15,7,12058,0,4122,0,42902,1705104236000,0,
0,,860323033,277451966,0,140,3383,21,,0,0,4,0,1,100,12,6,12057,0,4122,0,42902,1705104356000,0,
0,,860323033,277451966,0,140,3383,19,,0,0,4,0,1,100,13,6,12050,0,4122,0,42902,1705104476000,0,
0,,860323033,277451966,0,140,3383,20,,0,0,4,0,1,100,12,5,12066,0,4122,0,42902,1705104596000,0,
0,,860323033,277451966,0,140,3383,22,,0,0,4,0,1,100,11,5,12074,0,4122,0,42902,1705104716000,0,
0,,860323033,277451966,0,140,3383,22,,0,0,4,0,1,100,11,5,12059,0,4122,0,42902,1705104836000,0,
0,,860323033,277451966,0,140,3383,22,,0,0,4,0,1,100,11,5,12067,0,4123,0,42902,1705104956000,0,
0,,860323033,277451966,0,140,3383,19,,0,0,4,0,1,100,13,6,12052,0,4122,0,42902,1705105076000,0,
0,,860323033,277451966,0,140,3383,18,,0,0,4,0,1,100,14,6,12080,0,4122,0,42902,1705105196000,0,
0,,860323033,277451966,0,140,3383,18,,0,0,4,0,1,100,14,6,12058,0,4123,0,42902,1705105316000,0,
0,,860323033,277451966,0,140,3383,20,,0,0,4,0,1,100,13,6,12068,0,4122,0,42902,1705105436000,0,
0,,860323033,277451966,0,140,3383,19,,0,0,4,0,1,100,13,6,12058,0,4122,0,42902,1705105556000,0,
0,,860323033,277451966,0,140,3383,19,,0,0,4,0,1,100,13,6,12083,0,4122,0,42902,1705105676000,0,
0,,860323033,277451966,0,140,3383,20,,0,0,4,0,1,100,13,6,12108,0,4122,0,42902,1705105796000,0,
0,,860323033,277451966,0,140,3383,19,,0,0,4,0,1,100,10,6,12060,0,4123,0,42902,1705105916000,0,
0,,860323033,277451966,0,140,3383,20,,0,0,4,0,1,100,13,6,12058,0,4122,0,42902,1705106036000,0,
0,,860323033,277451966,0,140,3383,20,,0,0,4,0,1,100,12,6,12075,0,4122,0,42902,1705106156000,0,
0,,860323033,277451966,0,140,3383,18,,0,0,4,0,1,100,14,6,12050,0,4123,0,42902,1705106276000,0,
0,,860323033,277451966,0,140,3383,18,,0,0,4,0,1,100,14,6,12057,0,4122,0,42902,1705106396000,0,
0,,860323033,277451966,0,140,3383,19,,0,0,4,0,1,100,13,6,12082,0,4123,0,42902,1705106516000,0,
0,,860323033,277451966,0,140,3383,19,,0,0,4,0,1,100,13,6,12059,0,4122,0,42902,1705106636000,0,
0,,860323033,277451966,0,140,3383,19,,0,0,4,0,1,100,13,6,12067,0,4122,0,42902,1705106756000,0,
0,,860323033,277451966,0,140,3383,19,,0,0,4,0,1,100,13,6,12052,0,4122,0,42902,1705106876000,0,
0,,860323033,277451966,0,140,3383,19,,0,0,4,0,1,100,13,6,12075,0,4122,0,42902,1705106996000,0,
0,,860323033,277451966,0,140,3383,19,,0,0,4,0,1,100,13,6,12082,0,4122,0,42902,1705107116000,0,
0,,860323033,277451966,0,140,3383,20,,0,0,4,0,1,100,12,6,12074,0,4123,0,42902,1705107236000,0,
0,,860323033,277451966,0,140,3383,20,,0,0,4,0,1,100,12,6,12066,0,4122,0,42902,1705107356000,0,
0,,860323033,277451966,0,140,3383,19,,0,0,4,0,1,100,13,6,12050,0,4123,0,42902,1705107476000,0,
0,,860323033,277451966,0,140,3383,19,,0,0,4,0,1,100,13,6,12056,0,4122,0,42902,1705107596000,0,
0,,860323033,277451966,0,140,3383,19,,0,0,4,0,1,100,13,6,12050,0,4124,0,42902,1705107716000,0,
0,,860323033,277451966,0,140,3383,19,,0,0,4,0,1,99,13,6,12039,0,4120,0,42902,1705107836000,0,
0,,860323033,277451966,0,140,3383,20,,0,0,4,0,1,100,12,6,12057,0,4123,0,42902,1705107956000,0,
0,,860323033,277451966,0,140,3383,19,,0,0,4,0,1,100,13,6,12036,0,4122,0,42902,1705108076000,0,
0,,860323033,277451966,0,140,3383,20,,0,0,4,0,1,100,12,6,12050,0,4124,0,42902,1705108196000,0,
0,,860323033,277451966,0,140,3383,19,,0,0,4,0,1,100,13,6,12053,0,4122,0,42902,1705108316000,0,
0,,860323033,277451966,0,140,3383,18,,0,0,4,0,1,100,13,6,12050,0,4124,0,42902,1705108436000,0,
