Priority,element,X,Y,Speed,Angle,Altitude,Satellites,IO,239,240,21,200,69,113,181,182,66,24,67,68,241,Timestamp,EventSource,
0,,853549649,276769800,0,312,1315,18,,0,0,4,0,1,100,12,6,12221,0,4126,0,42902,1704910537000,0,
0,,853549649,276769800,0,312,1315,16,,0,0,4,0,1,100,13,6,12221,0,4127,0,42902,1704910657000,0,
0,,853549649,276769800,0,312,1315,18,,0,0,4,0,1,100,11,6,12221,0,4123,0,42902,1704910777000,0,
0,,853549649,276769800,0,312,1315,19,,0,0,4,0,1,100,11,5,12221,0,4127,0,42902,1704910897000,0,
0,,853549649,276769800,0,312,1315,17,,0,0,4,0,1,100,9,6,12228,0,4125,0,42902,1704911017000,0,
0,,853549649,276769800,0,312,1315,18,,0,0,4,0,1,100,11,6,12212,0,4125,0,42902,1704911137000,0,
0,,853549649,276769800,0,312,1315,18,,0,0,4,0,1,100,11,6,12221,0,4126,0,42902,1704911257000,0,
0,,853549649,276769800,0,312,1315,17,,0,0,4,0,1,100,11,6,12221,0,4126,0,42902,1704911377000,0,
0,,853549649,276769800,0,312,1315,18,,0,0,4,0,1,100,10,6,12221,0,4127,0,42902,1704911497000,0,
0,,853549649,276769800,0,312,1315,17,,0,0,4,0,1,100,11,6,12238,0,4126,0,42902,1704911617000,0,
0,,853549649,276769800,0,312,1315,16,,0,0,4,0,1,100,11,6,12221,0,4125,0,42902,1704911737000,0,
0,,853549649,276769800,0,312,1315,16,,0,0,4,0,1,100,11,6,12221,0,4127,0,42902,1704911857000,0,
0,,853549649,276769800,0,312,1315,18,,0,0,4,0,1,100,10,6,12221,0,4127,0,42902,1704911977000,0,
0,,853549649,276769800,0,312,1315,17,,0,0,4,0,1,100,10,6,12221,0,4126,0,42902,1704912097000,0,
0,,853549649,276769800,0,312,1315,17,,0,0,4,0,1,100,11,6,12221,0,4127,0,42902,1704912217000,0,
0,,853549649,276769800,0,312,1315,17,,0,0,4,0,1,100,11,6,12221,0,4126,0,42902,1704912337000,0,
0,,853549649,276769800,0,312,1315,17,,0,0,4,0,1,100,11,6,12221,0,4126,0,42902,1704912457000,0,
0,,853549649,276769800,0,312,1315,17,,0,0,4,0,1,100,11,6,12221,0,4126,0,42902,1704912577000,0,
0,,853549649,276769800,0,312,1315,16,,0,0,4,0,1,100,11,6,12221,0,4127,0,42902,1704912697000,0,
0,,853549649,276769800,0,312,1315,18,,0,0,4,0,1,100,10,6,12221,0,4127,0,42902,1704912817000,0,
0,,853549649,276769800,0,312,1315,18,,0,0,4,0,1,100,10,6,12221,0,4126,0,42902,1704912937000,0,
0,,853549649,276769800,0,312,1315,18,,0,0,4,0,1,100,10,6,12221,0,4126,0,42902,1704913057000,0,
0,,853549649,276769800,0,312,1315,17,,0,0,4,0,1,100,9,6,12221,0,4126,0,42902,1704913177000,0,
0,,853549649,276769800,0,312,1315,17,,0,0,4,0,1,100,10,6,12221,0,4127,0,42902,1704913297000,0,
0,,853549649,276769800,0,312,1315,16,,0,0,4,0,1,100,9,6,12221,0,4126,0,42902,1704913417000,0,
0,,853549649,276769800,0,312,1315,16,,0,0,4,0,1,100,11,6,12221,0,4126,0,42902,1704913537000,0,
0,,853549649,276769800,0,312,1315,17,,0,0,5,0,1,100,9,6,12221,0,4127,0,42902,1704913657000,0,
0,,853549649,276769800,0,312,1315,17,,0,0,4,0,1,100,10,6,12221,0,4127,0,42902,1704913777000,0,
0,,853549649,276769800,0,312,1315,16,,0,0,4,0,1,100,9,6,12220,0,4127,0,42902,1704913897000,0,
0,,853549649,276769800,0,312,1315,16,,0,0,4,0,1,100,9,6,12221,0,4127,0,42902,1704914017000,0,
0,,853549649,276769800,0,312,1315,16,,0,0,5,0,1,100,9,6,12221,0,4127,0,42902,1704914137000,0,
