Priority,element,X,Y,Speed,Angle,Altitude,Satellites,IO,239,240,21,200,69,113,181,182,66,24,67,68,241,Timestamp,EventSource,
0,,853550166,276770083,0,25,1296,16,,0,0,5,0,1,100,11,6,12563,0,4122,0,42902,1705169704000,0,
0,,853550166,276770083,0,25,1296,17,,0,0,5,0,1,100,11,6,12563,0,4122,0,42902,1705169824000,0,
0,,853550166,276770083,0,25,1296,16,,0,0,5,0,1,100,11,6,12452,0,4122,0,42902,1705169944000,0,
0,,853550166,276770083,0,25,1296,15,,0,0,5,0,1,100,12,6,12522,0,4122,0,42902,1705170064000,0,
0,,853550166,276770083,0,25,1296,16,,0,0,5,0,1,100,12,6,12392,0,4122,0,42902,1705170184000,0,
0,,853550166,276770083,0,25,1296,15,,0,0,5,0,1,100,12,7,12400,0,4122,0,42902,1705170304000,0,
0,,853550166,276770083,0,25,1296,14,,0,0,5,0,1,100,13,7,12401,0,4122,0,42902,1705170424000,0,
0,,853550166,276770083,0,25,1296,15,,0,0,5,0,1,100,12,7,12392,0,4122,0,42902,1705170544000,0,
0,,853550166,276770083,0,25,1296,14,,0,0,5,0,1,100,12,7,12392,0,4122,0,42902,1705170664000,0,
0,,853550166,276770083,0,25,1296,16,,0,0,5,0,1,100,11,6,12392,0,4122,0,42902,1705170784000,0,
0,,853550166,276770083,0,25,1296,17,,0,0,5,0,1,100,11,6,12392,0,4122,0,42902,1705170904000,0,
0,,853550166,276770083,0,25,1296,17,,0,0,5,0,1,100,11,6,12387,0,4122,0,42902,1705171024000,0,
0,,853550166,276770083,0,25,1296,16,,0,0,5,0,1,100,11,6,12392,0,4122,0,42902,1705171144000,0,
0,,853550166,276770083,0,25,1296,18,,0,0,5,0,1,100,10,6,12392,0,4122,0,42902,1705171264000,0,
0,,853550166,276770083,0,25,1296,16,,0,0,5,0,1,100,12,7,12392,0,4122,0,42902,1705171384000,0,
0,,853550166,276770083,0,25,1296,18,,0,0,5,0,1,100,9,6,12391,0,4122,0,42902,1705171504000,0,
0,,853550166,276770083,0,25,1296,18,,0,0,5,0,1,100,10,6,12392,0,4122,0,42902,1705171624000,0,
0,,853550166,276770083,0,25,1296,18,,0,0,5,0,1,100,10,6,12392,0,4122,0,42902,1705171744000,0,
0,,853550166,276770083,0,25,1296,16,,0,0,5,0,1,100,11,7,12392,0,4122,0,42902,1705171864000,0,
0,,853550166,276770083,0,25,1296,17,,0,0,5,0,1,100,11,6,12392,0,4122,0,42902,1705171984000,0,
0,,853550166,276770083,0,25,1296,19,,0,0,5,0,1,100,10,6,12392,0,4122,0,42902,1705172104000,0,
0,,853550166,276770083,0,25,1296,16,,0,0,5,0,1,100,12,7,12392,0,4122,0,42902,1705172224000,0,
